init_map,初始化地形(地形生成时间稍长),Initialize the terrain(Terrain generation time is slightly longer),地形を初期化する（地形の生成時間はわずかに長くなります）,Inicialice el terreno (el tiempo de generación del terreno es un poco más largo),Инициализация местности (время генерации местности немного длиннее),Initialiser le terrain (le temps de génération du terrain est légèrement plus long),Initialisiere das Terrain (die Terrain-Generierungszeit ist etwas länger),Araziyi ilklendirin (arazi oluşturma süresi biraz daha uzundur),지형 초기화 (지형 생성 시간이 약간 더 길어짐),Zainicjuj teren (czas generowania terenu jest nieco dłuższy),Inicialize o terreno (o tempo de geração do terreno é ligeiramente maior),Initialiser terrænet (terrængenereringstiden er lidt længere),Initialiseer het terrein (de generatietijd van het terrein is iets langer),Inizializza il terreno (il tempo di generazione del terreno è leggermente più lungo),Ініціалізувати місцевість (час генерації ландшафту трохи довший),Инициализирайте терена (времето за генериране на терена е малко по-дълго),इलाके को शुरू करें (इलाके की पीढ़ी का समय थोड़ा लंबा है),تهيئة التضاريس (وقت إنشاء التضاريس أطول قليلاً)
gui_op,gui透明度,Gui transparency,Guiの透明性,Transparencia Gui,Гуйская прозрачность,Transparence Gui,Gui Transparenz,Gui şeffaflığı,귀 투명성,Przejrzystość Gui,Transparência Gui,Gui gennemsigtighed,Gui transparantie,Trasparenza gui,Гуї прозорість,Gui прозрачност,गुई पारदर्शिता,الشفافية الشفافية
gui_bar,物品栏是否隐藏,Whether the item bar is hidden,アイテムバーが非表示になっているかどうか,Si la barra de elementos está oculta,Является ли панель элементов скрытой,Si la barre d'élément est cachée,Ob die Positionsleiste ausgeblendet ist,Öğe çubuğunun gizli olup olmadığı,항목 표시 줄이 숨겨져 있는지 여부,"Określa, czy pasek elementów jest ukryty",Se a barra de itens está oculta,Uanset om artikellinjen er skjult,Of de itembalk verborgen is,Se la barra degli articoli è nascosta,Чи є панель елементів прихованою?,Дали лентата с елементи е скрита,चाहे आइटम बार छुपा हुआ हो,ما إذا كان شريط العناصر مخفيًا
enable,启用,enable,有効にする,Habilitar,Включить,Activer,Aktivieren,etkinleştirme,사용,Włącz,Ativar,Aktiver,in staat stellen,permettere,Увімкнути,Активиране,सक्षम करें,مكن
start from steam,请用steam打开,Please open with steam,蒸気で開けてください,Por favor abre con vapor,"Пожалуйста, откройте пар",S'il vous plaît ouvrir avec de la vapeur,Bitte mit Dampf öffnen,Lütfen buharla aç,증기로 열어주세요.,Otwórz za pomocą pary,"Por favor, abra com vapor",Vent venligst med damp,Open alsjeblieft met stoom,Per favore apri a vapore,"Будь ласка, відкрийте паром","Моля, отворете с пара",भाप के साथ खोलें,يرجى فتح مع البخار
#,#,#,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
hungry,饥饿,hungry,飢え,Hambre,голодание,Faim,Hunger,açlık,기아,Głód,Fome,sult,honger,fame,Голод,глад,भूख,جوع
hungry_info,在不吃饭就要死了,I will die if I don’t eat.,私が食べないと私は死ぬだろう。,Moriré si no como.,"Я умру, если не буду есть.",Je vais mourir si je ne mange pas.,"Ich werde sterben, wenn ich nicht esse.",Yemezsem öleceğim.,내가 먹지 않으면 나는 죽을 것이다.,"Umrę, jeśli nie będę jeść.",Eu vou morrer se eu não comer.,"Jeg vil dø, hvis jeg ikke spiser.",Ik zal sterven als ik niet eet.,Morirò se non mangio.,"Я помру, якщо не буду їсти.","Ще умра, ако не ям.",अगर मैं नहीं खाता तो मैं मर जाऊंगा।,سأموت إن لم آكل.
thirst,饥渴,thirst,飢え,Hambre,жаждать,Faim,Hunger,susuzluk,기아,Głód,Fome,tørst,dorst,sete,Голод,жажда,प्यास,عطش
thirst_info,在不喝水就要死了,I will die if I don't drink water,私は水を飲まなければ私は死ぬだろう。,Moriré si no bebo agua.,"Я умру, если не буду пить воду.",Je vais mourir si je ne bois pas d'eau.,"Ich werde sterben, wenn ich kein Wasser trinke.",Su içmezsem öleceğim.,내가 물을 마시지 않으면 나는 죽을 것이다.,"Umrę, jeśli nie napiję się wody.",Eu vou morrer se eu não beber água.,"Jeg vil dø, hvis jeg ikke drikker vand.",Ik zal sterven als ik geen water drink.,Morirò se non bevo acqua.,"Я помру, якщо я не п'ю воду.","Ще умра, ако не пия вода.",अगर मैं पानी नहीं पीता तो मैं मर जाऊंगा।,سأموت إن لم أشرب الماء.
parasite,寄生虫,parasite,寄生虫,Parásito,Паразиты,Parasite,Parasit,Parazitler,기생충,Pasożyt,Parasita,Parasitter,parasieten,parassiti,Паразит,Паразити,परजीवी,طفيليات
parasite_info,下次不能在生吃食物了,You can't eat raw food next,次回は生の食べ物を食べることができません。,No puedo comer alimentos crudos la próxima vez.,В следующий раз я не могу есть сырую пищу.,Je ne peux pas manger de la nourriture crue la prochaine fois.,Ich kann das nächste Mal kein rohes Essen essen.,Bir dahaki sefere çiğ yiyemiyorum.,나는 다음 번에 생식을 먹을 수 없다.,Nie mogę jeść surowego jedzenia następnym razem.,Eu não posso comer comida crua da próxima vez.,Jeg kan ikke spise rå mad næste gang.,Ik kan de volgende keer geen rauw voedsel eten.,Non posso mangiare cibo crudo la prossima volta.,Я не можу з'їсти сиру їжу наступного разу.,Не мога да ям суха храна следващия път.,मैं अगली बार कच्चे भोजन नहीं खा सकता।,لا أستطيع أكل الطعام الخام في المرة القادمة.
weak,虚弱,To die,弱い,Débil,слабый,Faible,Schwach,zayıf,약한,Słaby,Fraco,svag,zwak,debole,Слабкі,слаб,कमज़ोर,ضعيف
weak_info,要死了，要死了,malnutrition,死ぬ、死ぬこと,"Morir, morir","Чтобы умереть, умереть","Mourir, mourir","Sterben, sterben","Ölmek, ölmek","죽을 때, 죽을 때까지.","Umrzeć, umrzeć","Morrer, morrer","At dø, at dø","Om te sterven, te sterven","Morire, morire","Померти, померти","Да умра, да умра","मरने के लिए, मरने के लिए",للموت ، للموت
malnutrition,营养不良,You should add some nutrition,栄養失調,Desnutrición,недоедание,Malnutrition,Unterernährung,yetersiz beslenme,영양 실조,Niedożywienie,Desnutrição,Fejlernæring,ondervoeding,malnutrizione,Недоїдання,недохранване,कुपोषण,سوء التغذية
malnutrition_info,应该要补充点营养了,#,栄養補給する必要があります,Debe complementarse con nutrición,Должен быть дополнен питанием,Devrait être complété avec de la nutrition,Sollte mit Ernährung ergänzt werden,Beslenme ile takviye edilmelidir,영양 보충되어야한다.,Należy uzupełnić odżywianiem,Deve ser complementado com nutrição,Skal suppleres med ernæring,Moet worden aangevuld met voeding,Dovrebbe essere integrato con la nutrizione,Повинно бути доповнене харчуванням,Трябва да се допълва с хранене,पोषण के साथ पूरक होना चाहिए,ينبغي أن تستكمل مع التغذية
#,#,grass dirt,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
grass_dirt,草泥土,Long grass on the soil,草地,Suelo de hierba,Травяная почва,Sol d'herbe,Grasboden,Çim toprak,잔디 토양,Trawa gleby,Solo de grama,Græsbord,Grasgrond,Terreno d'erba,Трава грунтова,Тревна почва,घास मिट्टी,تربة العشب
grass_dirt_info,泥土上长草了,dirt,土壌に長い草,Hierba larga en el suelo,Длинная трава на почве,Herbe longue sur le sol,Langes Gras auf dem Boden,Toprakta uzun çim,토양에 긴 잔디,Długa trawa na ziemi,Grama alta no solo,Lang græs på jorden,Lang gras op de grond,Erba alta sul terreno,Довга травинка на грунті,Дълга трева на почвата,मिट्टी पर लंबी घास,العشب الطويل على التربة
dirt,泥土,It looks very ordinary,土壌,Suelo,земля,Sol,Boden,Dünya,토양,Gleba,Solo,Jorden,aarde,terra,Грунт,Земя,पृथ्वी,أرض
dirt_info,看上去很普通,sand,非常に普通に見える,Parece muy ordinario,Выглядит очень обыденно,Regarde très ordinaire,Sieht sehr gewöhnlich aus,Çok sıradan görünüyor,매우 평범 해 보인다.,Wygląda bardzo zwyczajnie,Parece muito comum,Ser meget almindeligt ud,Het ziet er heel gewoon uit,Sembra molto normale,Виглядає дуже звичайно,Изглежда съвсем обикновен,बहुत सामान्य लग रहा है,تبدو عادية جدا
sand,沙,Do you expect to use it for cpu?,砂,Arena,песок,Sable,Sand,kum,모래,Piasek,Areia,Sand,zand,sabbia,Пісок,пясък,रेत,رمل
sand_info,你指望用它做cpu么,copper ore,あなたはそれをCPUとして使うことを期待していますか？,¿Esperas usarlo como una CPU?,Вы ожидаете использовать его в качестве процессора?,Pensez-vous l'utiliser en tant que CPU?,"Erwarten Sie, dass Sie es als CPU verwenden?",Bunu bir işlemci olarak kullanmayı mı bekliyorsunuz?,그것을 CPU로 사용할 것으로 예상합니까?,Czy spodziewasz się użyć go jako procesora?,Você espera usá-lo como um cpu?,Forventer du at bruge det som en cpu?,Verwacht je het te gebruiken als een cpu?,Ti aspetti di usarlo come CPU?,Ви очікуєте використовувати його як процесор?,Очаквате ли да го използвате като процесор?,क्या आप इसे एक सीपीयू के रूप में उपयोग करने की उम्मीद करते हैं?,هل تتوقع استخدامه كمعالج؟
copper_ore,铜矿,Ready to enter the copper age,銅鉱山,Mina de cobre,Медный рудник,Mine de cuivre,Kupfermine,Bakır maden,구리 광산,Kopalnia miedzi,Mina de cobre,Kobbermine,Kopermijn,Miniera di rame,Мідна шахта,Медна мина,कॉपर खान,منجم النحاس
copper_ore_info,准备进入铜器时代,tin ore,ブロンズ時代に入る準備ができました,Listo para entrar en la Edad de Bronce,Готовность к бронзовому веку,Prêt à entrer dans l'âge du bronze,Bereit für die Bronzezeit,Bronz Çağı'na girmeye hazır,청동기 시대에 들어갈 준비가되었습니다.,Gotowy do wejścia w epokę brązu,Pronto para entrar na Idade do Bronze,Klar til at komme ind i bronzealderen,Klaar om de bronstijd in te gaan,Pronto per entrare nell'età del bronzo,Готовий вступити в бронзовий вік,Готови сте да влезете в бронзовата епоха,कांस्य युग में प्रवेश करने के लिए तैयार हैं,على استعداد لدخول العصر البرونزي
tin_ore,锡矿,The necessary minerals for the Bronze Age,鉱山,Mina de estaño,Оловянная шахта,Mine d'étain,Tin Mine,Benim kalay,주석 광산,Cyna,Estanho meu,Tin mine,Tin mijn,Miniera di stagno,Моя шахта,Тин моята,टिन खान,القصدير الألغام
tin_ore_info,进入青铜时代的必备矿物,zinc ore,青銅器時代に入る必須ミネラル,Minerales esenciales entrando en la Edad del Bronce,"Основные минералы, вступающие в бронзовый век",Minéraux essentiels entrant dans l'âge du bronze,Essentielle Mineralien in die Bronzezeit,Bronz Çağı'na giren temel mineraller,청동기 시대에 들어가는 필수 미네랄,Niezbędne minerały wchodzące w epokę brązu,Minerais essenciais que entram na Idade do Bronze,Væsentlige mineraler ind i bronzealderen,Essentiële mineralen die de Bronstijd binnenkomen,Minerali essenziali che entrano nell'età del bronzo,"Основні мінерали, що входять до бронзового віку","Основни минерали, влизащи в бронзовата епоха",कांस्य युग में प्रवेश करने के लिए आवश्यक खनिज,معادن أساسية تدخل العصر البرونزي
zinc_ore,锌矿,Maybe it will be useful for the next update,亜鉛鉱山,Mina de zinc,Цинковый рудник,Mine de zinc,Zinkmine,Çinko maden,아연 광산,Kopalnia cynku,Mina de zinco,Zink mine,Zinkmijn,Miniera di zinco,Цинкова шахта,Цинкова мина,जिंक खान,منجم الزنك
zinc_ore_info,下次或许更新会有用,iron ore,たぶん、次のアップデートが役立つでしょう,Tal vez la próxima actualización sea útil,"Возможно, следующее обновление будет полезно",Peut-être que la prochaine mise à jour sera utile,Vielleicht ist das nächste Update nützlich,Belki bir sonraki güncelleme yararlı olacaktır,아마도 다음 번 업데이트가 유용 할 것입니다.,Może przyda się następna aktualizacja,Talvez a próxima atualização seja útil,Måske vil næste opdatering være nyttig,Misschien is de volgende update nuttig,Forse il prossimo aggiornamento sarà utile,"Може бути, наступне оновлення буде корисним",Може би следващата актуализация ще бъде полезна,शायद अगला अपडेट उपयोगी होगा,ربما التحديث القادم سيكون مفيدا
iron_ore,铁矿,Ready to enter the Iron Age,鉄鉱石,Mineral de hierro,Железная руда,Minerai de fer,Eisenerz,Demir cevheri,철광석,Ruda żelaza,Minério de ferro,Jernmalm,IJzererts,Minerale di ferro,Залізна руда,Желязна руда,लौह अयस्क,خام الحديد
iron_ore_info,准备进入铁器时代,coal ore,鉄の時代に入る準備ができている,Listo para entrar en la Edad del Hierro,Готовы войти в железный век,Prêt à entrer dans l'âge du fer,Bereit für die Eisenzeit,Demir Çağı'na girmeye hazır,철기 시대에 들어갈 준비 완료,Gotowy do wejścia w epokę żelaza,Pronto para entrar na Idade do Ferro,Klar til at komme ind i jernalderen,Klaar om de IJzertijd binnen te gaan,Pronto per entrare nell'età del ferro,Готовий вступити в Залізний вік,Готови сте да влезете в желязната епоха,लौह युग में प्रवेश करने के लिए तैयार है,على استعداد لدخول العصر الحديدي
coal_ore,煤矿,coal ore,炭鉱,Mina de carbón,Угольная шахта,Mine de charbon,Kohlenmine,Kömür madeni,석탄 광산,Kopalnia węgla,Mina de carvão,Kulmine,Kolenmijn,Miniera di carbone,Вугільна шахта,Въглищна мина,कोयला खान,منجم الفحم
coal_ore_info,煤矿,diamond ore,炭鉱,Mina de carbón,Угольная шахта,Mine de charbon,Kohlenmine,Kömür madeni,석탄 광산,Kopalnia węgla,Mina de carvão,Kulmine,Kolenmijn,Miniera di carbone,Вугільна шахта,Въглищна мина,कोयला खान,منجم الفحم
diamond_ore,钻石矿,Nature's Art,ダイヤモンド鉱山,Mina de diamantes,Бриллиантовая,Mine de diamants,Diamantmine,Elmas benim,다이아몬드 광산,Diamentowa kopalnia,Mina de diamante,Diamantmine,Diamantmijn,Miniera di diamanti,Алмазна шахта,Диамантна мина,डायमंड खान,منجم الماس
diamond_ore_info,大自然的艺术,silver ore,自然の芸術,El arte de la naturaleza,Искусство природы,L'art de la nature,Die Kunst der Natur,Doğa sanatı,자연의 예술,Sztuka natury,A arte da natureza,Naturens kunst,De kunst van de natuur,L'arte della natura,Мистецтво природи,Изкуството на природата,प्रकृति की कला,فن الطبيعة
silver_ore,银矿,Tiny minerals that look like tin,シルバーマイン,Mina de plata,Серебряный карьер,Mine d'argent,Silbermine,Gümüş madeni,은 광산,Kopalnia srebra,Mina de prata,Sølvmine,Zilvermijn,Miniera d'argento,Срібна шахта,Сребърна мина,रजत खान,منجم فضة
silver_ore_info,看上去像锡的稀有矿物,gold ore,錫のように見える希少鉱物,Minerales raros que se parecen a la lata,"Редкие минералы, которые выглядят как олово",Minéraux rares qui ressemblent à de l'étain,"Seltene Mineralien, die wie Zinn aussehen",Kalay gibi görünen nadir mineraller,주석 같이 보이는 희귀 한 광물,"Rzadkie minerały, które wyglądają jak cyna",Minerais raros que parecem estanho,"Sjældne mineraler, der ligner tin",Zeldzame mineralen die eruit zien als tin,Minerali rari che sembrano stagno,"Рідкісні мінерали, які виглядають як олово","Редки минерали, които приличат на калай",दुर्लभ खनिज जो टिन की तरह दिखते हैं,المعادن النادرة التي تبدو مثل القصدير
gold_ore,金矿,Minerals with gold,金鉱,Mina de oro,Золотая руда,Mine d'or,Goldmine,Altın madeni,금광,Kopalnia złota,Mina de ouro,Guldmine,Goudmijn,Miniera d'oro,Золото шахта,Златна мина,सोने की खान,منجم الذهب
gold_ore_info,蕴藏着黄金的矿物,stone,ゴールドミネラル,Mineral de oro,Золотой минерал,Minéral d'or,Goldmineral,Altın maden,금 광물,Złoto mineralne,Mineral de ouro,Guldmineral,Gouden mineraal,Minerale d'oro,Золотий мінерал,Златен минерал,स्वर्ण खनिज,معدن الذهب
stone,石头,Stones everywhere,ストーン,Piedra,камень,Pierre,Stein,taş,돌,Kamień,Pedra,sten,steen,pietra,Камінь,камък,पत्थर,حجر
stone_info,随处可见的石头,Crushed stone,どこでも石,Piedras en todas partes,Камни повсюду,Pierres partout,Steine ​​überall,Her yerde taşlar,어디서나 돌,Wszędzie kamienie,Pedras em todos os lugares,Stones overalt,Stenen overal,Pietre ovunque,Камені скрізь,Камъни навсякъде,हर जगह पत्थर,الحجارة في كل مكان
crushed_stone,碎石,Stone excavation product,グラベル,Grava,галечник,Gravier,Kies,çakıl,자갈,Żwir,Cascalho,grus,grind,ghiaia,Гравій,дребен чакъл,कंकड़,حصى
crushed_stone_info,石头挖掘后产物,leaf,石の掘削製品,Producto de excavación de piedra,Каменный экскаватор,Produit d'excavation en pierre,Steinaushubprodukt,Taş kazı ürünü,석재 발굴 제품,Wydobywany produkt kamienny,Produto de escavação de pedra,Stone udgravning produkt,Steenafgravingsproduct,Prodotto di scavo in pietra,Видобуток каменю,Продукт за изкопаване на камък,पत्थर खुदाई उत्पाद,منتج حفر حجري
